Symbol,marketCap
LEMONTREE,949507.39
PCBL,949507.18
JMFINANCIL,938913.76
LATENTVIEW,936965.93
SOBHA,934895.57
SPARC,930664.73
SAFARI,928202.83
PRSMJOHNSN,924917.72
MINDACORP,923444.29
NETWORK18,914509.53
ESABINDIA,905378.95
SAPPHIRE,905096.19
USHAMART,903407.01
PNCINFRA,901606.90
MMTC,897000.00
MEDPLUS,896036.30
SARDAEN,892405.57
RPOWER,888005.63
RCF,879942.52
TVSSCS,870856.11
JUBLPHARMA,868798.97
TV18BRDCST,865751.88
BALAMINES,864620.69
MASTEK,863585.78
TECHNOE,860790.72
METROPOLIS,859608.74
KRBL,858565.98
DEEPAKFERT,857659.78
RATEGAIN,857186.92
CCL,856367.24
CAMPUS,854563.53
VIPIND,848277.28
MAHSCOOTER,847919.75
VARROC,846742.23
SURYAROSNI,845569.86
MAHLIFE,842169.49
GAEL,841775.33
RELINFRA,831083.25
BALRAMCHIN,828079.78
IONEXCHANG,824559.57
KFINTECH,822489.72
HOMEFIRST,821762.27
PGHL,821295.92
PRINCEPIPE,821192.41
RESPONIND,818220.88
PTCIL,813755.76
KTKBANK,811563.51
JUBLINGREA,810103.87
GLS,805064.78
MANINFRA,804499.63
SPANDANA,803136.52
INDIACEM,802323.85
ACI,801710.11
INOXINDIA,801078.65
LXCHEM,799298.33
TMB,798803.91
CHEMPLASTS,790468.82
ALLCARGO,790402.50
EMIL,786426.47
SANDUMA,784586.67
MIDHANI,783362.21
QUESS,776467.37
TEGA,765529.66
MHRIL,765343.12
SHOPERSTOP,759645.16
DOMS,759075.95
SCI,758786.59
GRAVITA,756759.09
TRIVENI,754541.30
GPPL,739904.78
HEG,736537.34
EDELWEISS,734697.52
DBREALTY,730678.96
MARKSANS,730247.67
RUSTOMJEE,729063.11
VESUVIUS,728913.42
STARCEMENT,727524.75
PDSL,726346.77
CSBBANK,726298.41
IFCI,725722.44
GMMPFAUDLR,724665.49
ISGEC,721618.61
KNRCON,721226.13
EASEMYTRIP,715018.39
SAREGAMA,714744.78
JLHL,714604.07
INDIGOPNTS,709597.57
LTFOODS,705617.98
KIRLOSBROS,705190.97
RELIGARE,702629.24
JAICORPLTD,693186.73
VIJAYA,691299.47
JKPAPER,689128.74
UJJIVAN,687948.83
ROLEXRINGS,686333.93
GARFIBRES,685929.17
ARVIND,683967.51
JUSTDIAL,682097.88
